id,created_at,text
1246636051172638723,2020-04-05 03:09:30,"b'RT @HappyMacXL: ZIL Game Jam! Use ZIL &amp; ZILF to create your text adventure game, enter it into the competition... \xc2\xa350 for 1st Prize. \xf0\x9f\x99\x82\xe2\x9c\x8c\xef\xb8\x8f\n\nh\xe2\x80\xa6'"
1246610043874803712,2020-04-05 01:26:10,"b'@PeterNemere @fw88wf @Rhift I do still work one day a week at Oculus, and I don\'t mind being ""customer support of l\xe2\x80\xa6 https://t.co/OBWg35TBLN'"
1246093739963154433,2020-04-03 15:14:33,"b'@sneezuschrist For exploring ideas, start with the sample or open source codebase that is closest to what you are t\xe2\x80\xa6 https://t.co/ltAz6zQkGs'"
1245890690795679744,2020-04-03 01:47:42,b'@Argoon81 I started the old iOS Wolfenstein and Doom versions with public code instead of our original code. I woul\xe2\x80\xa6 https://t.co/CtCyrftkLl'
1245887954905677825,2020-04-03 01:36:50,"b'@a2_4am I spent a while last month with Total Replay on my //c, and this would have been very valuable!  Lode Runne\xe2\x80\xa6 https://t.co/SfmV3QQvZc'"
1245803821827346434,2020-04-02 20:02:31,"b""@pshc I don't need high draw call performance here, so I'm pretty confident OpenGL will make my life easier."""
1245799770037325826,2020-04-02 19:46:25,b'Vertex array objects not being shared between OpenGL contexts gets me every. single. time.'
1245414567783563265,2020-04-01 18:15:46,"b""I hadn't heard that suggested before, but it sounds quite pragmatic for large C++ projects -- tons of tiny files is\xe2\x80\xa6 https://t.co/j97JGltrkj"""
1245160172416352263,2020-04-01 01:24:53,"b'I have been inching closer to giving Linux a try as my desktop environment, but the Windows Subsystem for Linux is\xe2\x80\xa6 https://t.co/jF6uHrFEUO'"
1244992697062043648,2020-03-31 14:19:24,b'@CutmasterAlpha We licensed the code to them.'
1244774422671753219,2020-03-30 23:52:03,b'@voxelbased If a video decoder could write each macroblock (or row of macroblocks) directly to a full-persistence d\xe2\x80\xa6 https://t.co/IIATwciyNU'
1244742238447341568,2020-03-30 21:44:10,b'It would be interesting to have an embedded system where the transistors on the display were directly addressable a\xe2\x80\xa6 https://t.co/hRiLIQREtr'
1244349239486025729,2020-03-29 19:42:32,b'@pgriess Should be going open source this coming week. I was prepared to try and draft my local engineers if things\xe2\x80\xa6 https://t.co/5W9ANqQlMK'
1244313207445032962,2020-03-29 17:19:21,"b'@jaimefjorge /analyze, PVS Studio, cppcheck, clang-tidy. Some legitimate problems were found and fixed, but nothing\xe2\x80\xa6 https://t.co/xnMSZ6qr9M'"
1244308655861792768,2020-03-29 17:01:16,"b'@lockpickingmath It has been in development since then, it isn\xe2\x80\x99t frozen-old-code.  It uses OpenMP.'"
1244305866712547330,2020-03-29 16:50:11,b'@lockpickingmath No'
1244302925855326209,2020-03-29 16:38:30,b'People are going to get the wrong idea about this from some of the headlines. I have been helping out for the last\xe2\x80\xa6 https://t.co/zkwEkAw4Pa'
1243660917017120768,2020-03-27 22:07:23,"b'@rhyolight Starship is plenty big enough to boost a luxurious hab, fully assembled. Load propellant in Earth orbit for trans-Mars-injection.'"
1243593650128461824,2020-03-27 17:40:05,b'@HomemadeO This is for epidemic simulation work.'
1243591741254643712,2020-03-27 17:32:30,"b'Doing some CPU scaling experiments. One the one hand, WTF? The windows license costs more than the hardware? On the\xe2\x80\xa6 https://t.co/5aE0RA0u6n'"
1243579965767127044,2020-03-27 16:45:43,b'@B1tSmurf @Heaney555 @Smerity Sending someone with a few decades of supplies is easier than sending a return vehicl\xe2\x80\xa6 https://t.co/VOZU4zIhf6'
1243578956365860864,2020-03-27 16:41:42,b'@rhyolight Why is AGI relevant at all? We could have put someone on Mars long ago if it had been a true national pr\xe2\x80\xa6 https://t.co/oZ1F6N6tYT'
1243578218466234368,2020-03-27 16:38:46,"b'@avram_levi Nope.  Boots on Mars by March 2030. There was some careful thought about orbital dynamics with a ""What\xe2\x80\xa6 https://t.co/YX6rfVONQo'"
1243577179386118145,2020-03-27 16:34:38,"b""@Heaney555 @Smerity A living person standing on Mars, but they don't need to make it back. The stay-on-Mars mission architecture is valid!"""
1243574838163320834,2020-03-27 16:25:20,"b""critical faculties to bear, they won't stand behind. Usually the topic winds up getting changed, but someone actual\xe2\x80\xa6 https://t.co/b71t2aJwth"""
1243574837081235458,2020-03-27 16:25:20,"b'a room full of world class engineers, but the gap between abstract belief and careful consideration was large.  I t\xe2\x80\xa6 https://t.co/JcgLsd0VQ4'"
1243574835965571074,2020-03-27 16:25:20,"b'Many thought it would happen, but despite wishing it, I think the odds are &lt;50% in that window. As a clarifying tac\xe2\x80\xa6 https://t.co/6kjqjGhvFj'"
1243574834979917824,2020-03-27 16:25:19,b'Just before travel started getting locked down I was at a small gathering of people brought together to talk about\xe2\x80\xa6 https://t.co/r1UGCpKhZs'
