id,created_at,text
1246641833024688129,2020-04-05 03:32:29,"b'RT @HappyMacXL: ZIL Game Jam! Use ZIL &amp; ZILF to create your text adventure game, enter it into the competition... \xc2\xa350 for 1st Prize. \xf0\x9f\x99\x82\xe2\x9c\x8c\xef\xb8\x8f\n\nh\xe2\x80\xa6'"
1246630507464364032,2020-04-05 02:47:28,"b'@musicalcomet Yeah, we were in a dangerous rathole for a minute, but we got out.'"
1246559558505345025,2020-04-04 22:05:33,"b'I have gone live, like, streaming, with special guest Sean Barrett to talk about making software fast, or preventin\xe2\x80\xa6 https://t.co/D5zfQSyRKR'"
1246479386343124993,2020-04-04 16:46:58,"b'""Have you tried turning the airplane off and then on again?""\n\nhttps://t.co/G4A14qmu1b'"
1246462277894590465,2020-04-04 15:38:59,b'RT @eigenbom: using the *EPIC* new feature in c++20 https://t.co/kBIk6mjsBv'
1246460726069178369,2020-04-04 15:32:49,"b'RT @A_J_Higgins: Teaching my compressible flow course online is giving me the opportunity to answer some long-standing questions, such as:\xe2\x80\xa6'"
1246271505127759872,2020-04-04 03:00:56,b'RT @HELPFULTONY: Thinking about this PBF comic every single day when our mailman braves the diseased hellscape to bring us a fresh batch of\xe2\x80\xa6'
1246143730706337792,2020-04-03 18:33:12,"b""Tomorrow at 3pm Pacific time I'll be streaming another in-depth programming conversation, this time with Sean Barre\xe2\x80\xa6 https://t.co/4Z4zMYLgTU"""
1246130556334563328,2020-04-03 17:40:51,"b'100% of proceeds go toward charity organizations, such as Doctors Without Borders and the International Rescue Comm\xe2\x80\xa6 https://t.co/mSRxr9Qtdd'"
1246130031576764416,2020-04-03 17:38:46,b'Our Humble Conquer Covid Bundle will soon reach $4M -- 4 million US American Dollars! -- raised to support organiza\xe2\x80\xa6 https://t.co/fWAHe6RU4c'
1245859564815147008,2020-04-02 23:44:01,b'@LauraDeming is one of the biggest flaws with our current institutions. People will swear back and forth this is no\xe2\x80\xa6 https://t.co/nXHo9hvvN2'
1245859252352106496,2020-04-02 23:42:47,"b'@LauraDeming of the subject I have seen on the internet, *and yet* it still seems to be written from this foregone\xe2\x80\xa6 https://t.co/cAZpENGGSC'"
1245858809404256257,2020-04-02 23:41:01,b'@LauraDeming on my shoulder about long-running narratives that appear to be presenting false reasoning for many imp\xe2\x80\xa6 https://t.co/Gr5470enjQ'
1245858371678269441,2020-04-02 23:39:17,"b""@LauraDeming I didn't ever have that impression; one thing everyone has agreed upon the whole time has been long in\xe2\x80\xa6 https://t.co/rtuVcLUCwH"""
1245827122465083397,2020-04-02 21:35:07,b'@LauraDeming Wikipedia link for the 91/99%: https://t.co/2euPMxqId5'
1245826997231579136,2020-04-02 21:34:37,"b'@LauraDeming I think the real root problem is that we have built an anti-testing culture in the medical community,\xe2\x80\xa6 https://t.co/iKyxWTEtIE'"
1245826651520290816,2020-04-02 21:33:14,b'@LauraDeming The information here is super-old. There are a number of tests now that have different failure modes.\xe2\x80\xa6 https://t.co/t74qyW0uZZ'
1245751797811048448,2020-04-02 16:35:48,b'RT @AxlerLinear: The electronic version of my book Linear Algebra Done Right is free until the end of July. This generous gesture by Spring\xe2\x80\xa6'
1245572129879289856,2020-04-02 04:41:52,b'@webdevMason I mean really you only need a spoon for SPAM too.'
1245543685028065281,2020-04-02 02:48:50,"b""@rpjohnst @cmuratori @NoHatCoder It's good to avoid generating that garbage when the method of avoiding it is very\xe2\x80\xa6 https://t.co/M8F3QHu3O1"""
1245543329409843200,2020-04-02 02:47:25,"b'@rpjohnst @cmuratori @NoHatCoder But ... again ... if ""not generating a bunch of garbage"" involves generating a bun\xe2\x80\xa6 https://t.co/kn9b9siRwS'"
1245529339107528704,2020-04-02 01:51:49,"b'@rpjohnst @cmuratori @NoHatCoder On the other hand, ""we run SCC analysis on the code to avoid putting phis in to be\xe2\x80\xa6 https://t.co/NPdWelZJtx'"
1245529175240241153,2020-04-02 01:51:10,"b'@rpjohnst @cmuratori @NoHatCoder The stuff at the end where they are like, ""yeah instead of making a placeholder ph\xe2\x80\xa6 https://t.co/JWR1S0Zk1G'"
1245528839960162304,2020-04-02 01:49:50,b'@rpjohnst @cmuratori @NoHatCoder even though that is silly and misses the forest for the trees. What should really\xe2\x80\xa6 https://t.co/QhcSIWRCIX'
1245528458844758016,2020-04-02 01:48:20,b'@rpjohnst @cmuratori @NoHatCoder the whole point is you are going to do lots more stuff just like this in your opti\xe2\x80\xa6 https://t.co/zGSJFxre2o'
1245528233337999361,2020-04-02 01:47:26,"b'@rpjohnst @cmuratori @NoHatCoder to do, or that would have taken more time in another representation. So for a pape\xe2\x80\xa6 https://t.co/XrRHyZN6EZ'"
1245528042996293632,2020-04-02 01:46:40,"b""@rpjohnst @cmuratori @NoHatCoder I agree with what I understand Casey's point to be, which is that SSA itself is no\xe2\x80\xa6 https://t.co/Wyn5jxhoxm"""
1245527819871899648,2020-04-02 01:45:47,"b'@rpjohnst @cmuratori @NoHatCoder Yeah on the one hand, this paper looks reasonable to me, it looks more straightfor\xe2\x80\xa6 https://t.co/Q7p2txWWFx'"
1245479167539343360,2020-04-01 22:32:28,"b""@JazzJackrabbit_ Whoops, I read that as $3.5M USD, it's Canadian. USA total is about $2.5M."""
1245478949913653249,2020-04-01 22:31:36,b'@JazzJackrabbit_ Thanks! I missed that.'
1245478632098656256,2020-04-01 22:30:20,"b'100% of the proceeds go to organizations responding to Covid-19, such as Doctors Without Borders, the International\xe2\x80\xa6 https://t.co/IRriOP5Svw'"
1245477862028627969,2020-04-01 22:27:16,"b""I don't know the full total that's been raised by the Conquer Covid Bundle, but it's at least $2.3 million so far.\xe2\x80\xa6 https://t.co/l2Dp73WrN7"""
1245474629470175232,2020-04-01 22:14:26,"b'@cmuratori @NoHatCoder Also, we have seen where this goes in the extreme: ""generate lots of junk, then clean up all\xe2\x80\xa6 https://t.co/u9SZbmgQDh'"
1245474499463507968,2020-04-01 22:13:55,"b""@cmuratori @NoHatCoder The other problem is, even if it worked, it's slow. The general paradigm of modern compilers\xe2\x80\xa6 https://t.co/0n5kfJnPwS"""
1245078092294455296,2020-03-31 19:58:44,"b'If you are going to stay home and play video games, you might as well help cure the virus too.\n\n$1000 worth of stuf\xe2\x80\xa6 https://t.co/vwvPUtYGq9'"
1244792815512510469,2020-03-31 01:05:09,"b'The most useful thing I ever learned, about how to do geometric operations in software, is to separate the problem\xe2\x80\xa6 https://t.co/5aongKqknY'"
1244791633637335040,2020-03-31 01:00:27,b'@cmuratori This reads like a parody site...\nhttps://t.co/xMdjJvgX52'
1244742051289133056,2020-03-30 21:43:25,"b'@cmuratori @JonasKyratzes Dude, in the JJ Abrams movie they beamed onto a starship that was many light years away t\xe2\x80\xa6 https://t.co/XTq1HQOBUi'"
1244727529946009601,2020-03-30 20:45:43,"b""@alexito4 @cmuratori it's just Not There Yet. So in the end it will be something worth doing a video about, but right now it isn't."""
1244727453760684032,2020-03-30 20:45:25,b'@alexito4 @cmuratori There is pretty much nothing good about this right now. It is a mish-mash of ad hoc systems th\xe2\x80\xa6 https://t.co/2ekpU2Xcw2'
1244712737248137216,2020-03-30 19:46:56,"b""@nothings Oh, it's more than a couple. It just keeps going."""
1244710310516109312,2020-03-30 19:37:18,"b'@wfxpanisa @smarimc @dabeaz probably at least decades, maybe a century, who knows.'"
1244710258347372544,2020-03-30 19:37:05,"b'@wfxpanisa @smarimc @dabeaz is quite huge, but ability to tap it has little to do with the quality of software. Eve\xe2\x80\xa6 https://t.co/vIyEDc3SyX'"
1244710031066423297,2020-03-30 19:36:11,"b'@wfxpanisa @smarimc @dabeaz find a successful place to tap that energy well, and make software that is just barely\xe2\x80\xa6 https://t.co/o6uGyVxosJ'"
1244709786802728961,2020-03-30 19:35:13,"b'@wfxpanisa @smarimc @dabeaz need to become evidence-based, or else they will go out of business. The problem is tha\xe2\x80\xa6 https://t.co/wvaM0un7nq'"
1244709510372937728,2020-03-30 19:34:07,"b'@wfxpanisa @smarimc @dabeaz This can happen eventually, but it probably requires the economics to change so that mo\xe2\x80\xa6 https://t.co/1bv7KWsvQ9'"
1244708816802836480,2020-03-30 19:31:22,b'@smarimc @wfxpanisa @dabeaz that is not evidence-based and in fact creates a lot of problems. Most of these Web-bas\xe2\x80\xa6 https://t.co/ksSwIpdMU2'
1244708611965603840,2020-03-30 19:30:33,"b'@smarimc @wfxpanisa @dabeaz I think the Mario pipe analogy in the article is more about code than mazes of tools, b\xe2\x80\xa6 https://t.co/ywUSHcuaUE'"
1244706448438743040,2020-03-30 19:21:57,"b'@smarimc @wfxpanisa @dabeaz Unfortunately most people assume that this stuff is necessary, or even important and go\xe2\x80\xa6 https://t.co/qu7yWMB0cA'"
1244706290682572801,2020-03-30 19:21:19,"b'@smarimc @wfxpanisa @dabeaz unnecessary (and in this language are unnecessary). Other examples are linkers, precomp\xe2\x80\xa6 https://t.co/gdVAn4AvC3'"
1244705880995577856,2020-03-30 19:19:42,"b'@smarimc @wfxpanisa @dabeaz Re the plumbing question, the point is that most of the ""tools"" that people think are n\xe2\x80\xa6 https://t.co/Ek9lSxBaZy'"
1244704724529496066,2020-03-30 19:15:06,"b""@smarimc @wfxpanisa @dabeaz You could, but in the process of doing this you'd turn it into a different programming\xe2\x80\xa6 https://t.co/qZcCaNgAoR"""
1244690449991757824,2020-03-30 18:18:23,b'People who liked certain other games might be interested in this as well.\nhttps://t.co/Aoqet9EnaP'
1244683056541093888,2020-03-30 17:49:00,"b""RT @Jonathan_Blow: Here's a Q&amp;A that followed the main discussion:\n\nhttps://t.co/ODSE9OMVmt"""
1244683040485335046,2020-03-30 17:48:56,"b""RT @Jonathan_Blow: Today's talk with Casey about how to program compilers, etc, is now posted:\n\nhttps://t.co/hQCZ46CGUZ"""
1244530041595150337,2020-03-30 07:40:58,"b""Here's a Q&amp;A that followed the main discussion:\n\nhttps://t.co/ODSE9OMVmt"""
1244529967901208576,2020-03-30 07:40:41,"b""Today's talk with Casey about how to program compilers, etc, is now posted:\n\nhttps://t.co/hQCZ46CGUZ"""
1244487288270147584,2020-03-30 04:51:05,b'@SpudTheBlackLab @therealcliffyb @romero @br @levine @corybarlog @davidscottjaffe @HIDEO_KOJIMA_EN @DonaldMustard\xe2\x80\xa6 https://t.co/bTTl87FwQv'
1244487138114015232,2020-03-30 04:50:29,b'@SpudTheBlackLab @therealcliffyb @romero @br @levine @corybarlog @davidscottjaffe @HIDEO_KOJIMA_EN @DonaldMustard\xe2\x80\xa6 https://t.co/597tJQsNOW'
1244483718615457792,2020-03-30 04:36:54,b'@SpudTheBlackLab @therealcliffyb @romero @br @levine @corybarlog @davidscottjaffe @HIDEO_KOJIMA_EN @DonaldMustard\xe2\x80\xa6 https://t.co/GbHVtCmKR7'
1244483320345284609,2020-03-30 04:35:19,b'@cmuratori Bummer. Fortunately the Twitch stream is all good.'
1244472593354092545,2020-03-30 03:52:42,"b'I just realized that I never sent the tweet announcing the start of the stream, so, that makes the high viewership\xe2\x80\xa6 https://t.co/ZGl2DyggaM'"
1244471008456658944,2020-03-30 03:46:24,"b'Thanks, everyone, for coming to this stream! We had 1200 viewers at peak, which was pretty cool. YouTube versions o\xe2\x80\xa6 https://t.co/r2jmFtETAh'"
1244467731522441218,2020-03-30 03:33:22,b'@therealcliffyb @romero @br @levine @corybarlog @davidscottjaffe @HIDEO_KOJIMA_EN @DonaldMustard @TimOfLegend\xe2\x80\xa6 https://t.co/Kd5OuKIqVL'
1244108757723828226,2020-03-29 03:46:56,"b""This stream will have a lot more explanation than my usual programming sessions, so it's easier to understand for b\xe2\x80\xa6 https://t.co/CvcBsIVOmg"""
1244108520133292032,2020-03-29 03:46:00,"b""People liked the discussion I did with Casey last week about character animation. So we're doing another one, about\xe2\x80\xa6 https://t.co/GGujUlgahG"""
1244043121349947392,2020-03-28 23:26:07,b'@MrVentures I thought Mr Robot was very bad. This show is not much like that one.'
1244039171557093376,2020-03-28 23:10:26,"b""P.S. If you watch it, don't watch the massively spoilerific trailer. Just watch the show!"""
1244037257176027137,2020-03-28 23:02:49,"b'@knunery Title seems very easy to misinterpret, it seemed like a Silicon Valley comedy-esque show the first time I heard it.'"
1244031598070083584,2020-03-28 22:40:20,"b'@Ivan_Braidi I think so. I watched it on Amazon, but I think that includes a Hulu subscription or something.'"
