id,created_at,text
1246145512501178370,2020-04-03 18:40:17,b'Looking for an excellent data scientist and virologist to help with some COVID-related data analysis. Unique opport\xe2\x80\xa6 https://t.co/Dig2Mo1239'
1245853055712559104,2020-04-02 23:18:09,b'@Jonathan_Blow You are one of the smarter media consumers I know so if your impression was that false negatives wer\xe2\x80\xa6 https://t.co/0IDz1Og3LG'
1245852761511432192,2020-04-02 23:16:59,b'@Jonathan_Blow It\xe2\x80\x99s literally not 90%+  - likely 70% for current tests across the board. Because viral loads don\xe2\x80\x99t\xe2\x80\xa6 https://t.co/9qfUKKJXBG'
1245852429431615491,2020-04-02 23:15:40,b'@Jonathan_Blow Total BS. Two different numbers:\n\nSens/spec for detecting virus *if it is present in a sample* (all\xe2\x80\xa6 https://t.co/sX3PWqZS1g'
1245812948276150274,2020-04-02 20:38:47,b'It\xe2\x80\x99s helpful to get tested if you are an essential worker worried about infection risk to others - it might be less\xe2\x80\xa6 https://t.co/nYpiBehmAC'
1245807697653448704,2020-04-02 20:17:55,"b'This is a really good post on the risk of false negatives in COVID-19 testing. Often, testing is a better proxy for\xe2\x80\xa6 https://t.co/1Jg9txUnNO'"
1241844322271555584,2020-03-22 21:48:53,b'RT @noor_siddiqui_: Yale\xe2\x80\x99s ED has a shortage of masks. Please message me if you have access to some my sister and her colleagues can purcha\xe2\x80\xa6'
1241139285350182912,2020-03-20 23:07:19,"b""RT @kate_catherall: We're still collecting sign ups to donate medical supplies (masks, gloves, gowns, face shields, etc.) Dr.'s are telling\xe2\x80\xa6"""
1240517352371802114,2020-03-19 05:55:59,b'We especially want to prioritize high-risk patients such as the elderly and those with pre-existing medical conditions.'
1240507647477993472,2020-03-19 05:17:25,b'If you are a hospital/physician in LA or SF with patients in need of COVID-19 testing please email ldeming.www@gmai\xe2\x80\xa6 https://t.co/8hxbyz3mOL'
1240131769577414656,2020-03-18 04:23:49,b'RT @celinehalioua: are there any medical professionals working on clinical trials of generic drugs for COVID19 (e.g. hydroxychloroquine)? I\xe2\x80\xa6'
1239939370288697344,2020-03-17 15:39:17,b'Does anyone know folks at @lyft and @Uber who want to help with COVID? We\xe2\x80\x99re coordinating same day pickup of test k\xe2\x80\xa6 https://t.co/PqgRHO3SjW'
1239782691135864834,2020-03-17 05:16:42,b'It\xe2\x80\x99s so true. Testing isn\xe2\x80\x99t solved. Supply chain issues rampant. Will get better but still need help.\n\nhttps://t.co/uGnki9SA0F'
1239691553544663040,2020-03-16 23:14:33,b'Amazing. https://t.co/XVsdcZJqSO'
1239647957596569600,2020-03-16 20:21:19,b'We\xe2\x80\x99re trying to ensure freedom of movement for people delivering coronavirus tests in CA - can anyone from SF govt\xe2\x80\xa6 https://t.co/VD1hEwGABn'
1239174122506092546,2020-03-15 12:58:28,b'Urgent: we need more lab technicians to scale up coronavirus testing capacity in LA - if you have lab experience an\xe2\x80\xa6 https://t.co/v8p32UynGj'
1238638121438154753,2020-03-14 01:28:35,b'US at ~26K/day coronavirus test capacity (but definitely not operating at full capacity) https://t.co/aUyGnmfKP7'
