id,created_at,text
1246596343868637186,2020-04-05 00:31:43,b'@LoCtrl @lastpositivist I see what you did there. I think?'
1246596056437096448,2020-04-05 00:30:35,b'@imleslahdin Ears give them lift.'
1246595401156825091,2020-04-05 00:27:58,b'@lastpositivist @peligrietzer @HiFromMichaelV can tell you the full genealogy but I think this did spring from the\xe2\x80\xa6 https://t.co/g6OZxULMDf'
1246594510978777088,2020-04-05 00:24:26,"b'Benedict option, but for reasoning. https://t.co/06GtmOvbTk'"
1246592682878799872,2020-04-05 00:17:10,"b""RT @lastpositivist: Curtis Yarvin's popularity amongst a certain Sort honestly seems to me to require a psychoanalytic explanation - and, l\xe2\x80\xa6"""
1246581361902845952,2020-04-04 23:32:11,b'@xbrianh Phenomenology can get you pretty far in a lot of cases!'
1246580763962888197,2020-04-04 23:29:49,"b'@MelMitchell1 Not quite\xe2\x80\x94I want the model to discover the interactions between topics (just from a skim, this is abo\xe2\x80\xa6 https://t.co/5UDXF7PCia'"
1246580299519197185,2020-04-04 23:27:58,"b""@SethLargo Discrete a separate problem (the one we're wrestling with too\xe2\x80\x940.2 of 7 is not 1.4, it's one, sometimes two!)"""
1246580119336091651,2020-04-04 23:27:15,"b'@coreyamyers Ha ha! Awesome\xe2\x80\x94yes, this makes sense.'"
1246556638049439744,2020-04-04 21:53:57,b'Has anyone combined a topic model with a spin glass?'
1246554239205343233,2020-04-04 21:44:25,b'A wise thing to do in a crisis is to look at previous solutions. But many of these are stumbled upon and adopted in\xe2\x80\xa6 https://t.co/TbnHNz3sW9'
1246553031728074761,2020-04-04 21:39:37,b'@hvairinhos @imveryverbose Yup.'
1246552785899880449,2020-04-04 21:38:38,b'@imleslahdin On the contrary\xe2\x80\x94they\xe2\x80\x99re the heart of them! (Boltzmann machines.)'
1246552656753184769,2020-04-04 21:38:07,b'RT @MackayIM: Yes. Cloth masks (less so than surgical masks &amp; less again than N95 respirators) *can* reduce risk of inhaling potentially (a\xe2\x80\xa6'
1246552073388404736,2020-04-04 21:35:48,b'Evening speculation: traditional deep learning models are bad at prediction problems for COVID because they were bu\xe2\x80\xa6 https://t.co/LFqpzpN0zk'
1246537679585542144,2020-04-04 20:38:37,b'@Moonsoother @HelenaMiton Super appreciated\xe2\x80\x94thank you! We can try to source via CMU library. Give us titles and we\xe2\x80\x99\xe2\x80\xa6 https://t.co/Cvm1iHbWiA'
1246521521398562817,2020-04-04 19:34:24,"b'RT @cstross: Ah, Gates is going Manhattan Project management on the vaccine problem.\n\n(During the Manhattan Project, every time they hit a\xe2\x80\xa6'"
1246519097401192448,2020-04-04 19:24:46,b'RT @BoingBoing: Sci-fi author Ted Chiang on the disaster novel we\xe2\x80\x99re currently living through https://t.co/a1AHMxSzn0'
1246514588037910528,2020-04-04 19:06:51,"b'@Quantensalat @WKCosmo @DavidSpergel @davidwhogg If you think about it, it would make sense to create us to solve p\xe2\x80\xa6 https://t.co/OQDfJbgwxK'"
1246513709175967746,2020-04-04 19:03:22,"b'@Quantensalat @WKCosmo @DavidSpergel @davidwhogg Careful, or David will renice us +20'"
1246513411648872452,2020-04-04 19:02:11,b'Roger Scruton on the Ring Cycle. https://t.co/k483aDekw6'
1246498901827387393,2020-04-04 18:04:31,b'@DavidSpergel @davidwhogg This is obviously evidence that David Spergel is running the matrix. Presumably we\xe2\x80\x99re all\xe2\x80\xa6 https://t.co/LVbCAC4lDH'
1246498490340999168,2020-04-04 18:02:53,b'RT @michael_nielsen: Bill Gates is setting up factories to manufacture 7 leading vaccine candidates before we know which is best &amp; safest;\xe2\x80\xa6'
1246468459380314113,2020-04-04 16:03:33,"b""RT @snaidunl: Thought: low wage high turnover model of many of America's largest employers of essential workers could be a a vehicle for qu\xe2\x80\xa6"""
1246468009637613569,2020-04-04 16:01:46,b'RT @curiouswavefn: Alexander Grothendieck was crazily brilliant and brilliantly crazy; absolutely fascinating as both a mathematician and a\xe2\x80\xa6'
1246463562173820928,2020-04-04 15:44:06,b'Very nice @distillpub paper on how to use tSNE well. https://t.co/xHaD7hKtuT'
1246454519455678466,2020-04-04 15:08:10,b'@peligrietzer Please do put us in touch! Re: false nodes\xe2\x80\x94it depends upon location in the network.'
1246454191922520065,2020-04-04 15:06:52,"b'@alaviers @mraginsky @HelenaMiton @nature @LabanBartenieff @sydneyskybetter @Douglas_Eacho Amy, this is just fantas\xe2\x80\xa6 https://t.co/qS6DvUBXgp'"
1246446104633360385,2020-04-04 14:34:43,b'RT @pacinocchio: turns out data on venture capital for whaling missions looks remarkably similar to modern VC stats -- long tails for profi\xe2\x80\xa6'
1246442490410000384,2020-04-04 14:20:22,b'@peligrietzer Discussed in the paper in the Methods section :) I just made up the word. The idea is that if a node\xe2\x80\xa6 https://t.co/ICCM2yzjui'
1246441642376269829,2020-04-04 14:16:59,"b""@HundredthIdiot There's the famous organ donor solution. Could be used in a case where someone has a space in locat\xe2\x80\xa6 https://t.co/SqwdnrziT1"""
1246441239626551297,2020-04-04 14:15:23,b'@peligrietzer He read a draft\xe2\x80\x94very nicely gave us permission to quote from his thoughtful response.'
1246441022122491906,2020-04-04 14:14:32,b'RT @svscarpino: That time my parents called the local news channel and said they should interview me about #COVID\xe3\x83\xbc19 because I grew up in I\xe2\x80\xa6'
1246440945475878914,2020-04-04 14:14:13,"b'RT @svscarpino: ""Was Nancy Messonnier, director of the CDC\xe2\x80\x99s Center for Immunization and Respiratory Diseases, sidelined?"" @HelenBranswell\xe2\x80\xa6'"
1246440156380434433,2020-04-04 14:11:05,b'@peligrietzer See Scott quote at the end!'
1246440066664275969,2020-04-04 14:10:44,b'@diomavro Some thoughts: penalize people who order what everyone else orders that day? (Minority game in action!)'
1246439859625111552,2020-04-04 14:09:54,b'@diomavro Take the Amazon grocery problem. We want people to be efficient in ordering; not to hoard or over-order;\xe2\x80\xa6 https://t.co/pOImJG3BCM'
1246438575828357121,2020-04-04 14:04:48,b'Can Game Theorists please publish some fun mechanism design papers on:\n\n1. allocating limited slots for grocery del\xe2\x80\xa6 https://t.co/IkE8VzcUDx'
1246417086240473093,2020-04-04 12:39:25,b'RT @ksieff: Uganda has the best Coronavirus PSA. https://t.co/841962DR1V'
1246408985198170119,2020-04-04 12:07:13,b'@sturmundstang Is that how you teach Kant.'
1246277347495591936,2020-04-04 03:24:09,b'RT @kevinbaker: My favorite cover of Byte. (Jan 1977) https://t.co/JepJGaluiT'
1246272372732317696,2020-04-04 03:04:22,b'@evopsychgoogle \xe2\x80\x9cOK I\xe2\x80\x99m going to tell you\xe2\x80\x9d'
1246272243581272070,2020-04-04 03:03:52,b'RT @evopsychgoogle: when the journal assigns some amateur to peer review ur paper https://t.co/FkStigngsA'
1246272000169062401,2020-04-04 03:02:54,b'@Dona_Colacho The script definitely written by a preppy.'
1246271869411622912,2020-04-04 03:02:22,b'@Dona_Colacho Would definitely not have been in the textbook from the 50s! (I\xe2\x80\x99m actually not sure when Walt Whitman got in.)'
1246271533795901441,2020-04-04 03:01:02,b'@kyleliamn @C4COMPUTATION!'
1246255679414898689,2020-04-04 01:58:02,b'https://t.co/wsCWkUNL7P'
1246249058278215681,2020-04-04 01:31:44,b'Not approved by the Office of Instructional Technology.'
1246246404034629639,2020-04-04 01:21:11,"b'Having taught in a boarding school now, I can tell you that we had no idea what was happening after lights out.'"
1246243873489334275,2020-04-04 01:11:08,b'RT @CT_Bergstrom: The 80% asymptomatic claim from that short BMJ perspective piece strikes me as much too high given everything else we kno\xe2\x80\xa6'
1246243588863918082,2020-04-04 01:10:00,"b'@MichelleAKline Man, BBS, high stakes!'"
1246243524686819328,2020-04-04 01:09:45,b'@MichelleAKline Thank you!'
1246242962067148802,2020-04-04 01:07:30,b'@mraginsky @HelenaMiton @alaviers References sought!'
1246242862280454148,2020-04-04 01:07:07,b'@matt_zefferman @HelenaMiton @AlisonGopnik Please! Super-appreciated'
1246241411651063810,2020-04-04 01:01:21,"b'@matt_zefferman @HelenaMiton @AlisonGopnik Citations! (Seriously, would be very helpful.)'"
1246240726272352256,2020-04-04 00:58:37,b'What awesomely disastrous teaching. The only unrealistic thing is that another faculty member shows up to check on things.'
1246240268711583745,2020-04-04 00:56:48,b'And people get on our case for NLP.'
1246240083365318658,2020-04-04 00:56:04,b'What you may not know is that the book Robin Williams tells them to tear up is Perrine\xe2\x80\x99s _Sound and Sense_.'
1246238392351969282,2020-04-04 00:49:21,b'@TheAnnaGat https://t.co/Eum0fvmSLv'
1246236611127500800,2020-04-04 00:42:16,b'@davidsarac David Sloan Wilson?'
1246234296060428291,2020-04-04 00:33:04,"b""Did you guys know that Ethan Hawke is in Dead Poet's Society?"""
1246233960461582337,2020-04-04 00:31:44,"b""RT @gjncs: I'm making an easier-to-read version of Nick Land's notes on xenotation.\nAny guesses what these words are?\n\xe2\x91\xa0 supplanting transce\xe2\x80\xa6"""
1246222982697099265,2020-04-03 23:48:07,b'@svscarpino Write a letter.'
1246222004086280194,2020-04-03 23:44:14,"b'I should be used to this by now, but XKCD is extraordinarily good at teaching (in this case, cultural evolution). https://t.co/WwnVXz4ESr'"
1246221600590041091,2020-04-03 23:42:37,b'@svscarpino Is your other cat Pamela?'
1246220192935489538,2020-04-03 23:37:02,b'@snaidunl We should put accelerometers on people in the pit (seriously).'
1246219610829082624,2020-04-03 23:34:43,"b""@tweet_at_DLH @HelenaMiton It sounds like you think fly fishing isn't an elite sport for an ultra competent minority!"""
1246219071173115904,2020-04-03 23:32:34,b'@snaidunl https://t.co/8GWCWKg7Jr'
1246218939979440130,2020-04-03 23:32:03,b'@tweet_at_DLH @HelenaMiton https://t.co/fx0EQR5UNh'
1246216403344130056,2020-04-03 23:21:58,"b""Yeah, it's @LindyEffect"""
1246216170031779845,2020-04-03 23:21:03,"b""@andrei_st_n @AEI When you're a bullshit think tank like @AEI, the normal rules of evidence (or, indeed, plausibili\xe2\x80\xa6 https://t.co/Z3BwkxfDET"""
1246215845774266371,2020-04-03 23:19:45,"b'There great work in anthropology on this (e.g., flintknapping), but we want to cast a wide net, and are eager to he\xe2\x80\xa6 https://t.co/ZYp2lc8qp4'"
1246215383083819015,2020-04-03 23:17:55,"b'A big question for us is the relationship between the physical and the mental. The fishing rod has a lot of ""inform\xe2\x80\xa6 https://t.co/dHIJvw1FNQ'"
1246215101616738304,2020-04-03 23:16:48,"b""We (@HelenaMiton &amp; I) are studying tacit knowledge and cultural evolution. We're interested in work on tacit knowle\xe2\x80\xa6 https://t.co/Np2FSnbYSQ"""
1246195176424554498,2020-04-03 21:57:37,"b'@ChrSzegedy @johannes_wachs What was interesting for us was how similar the human and machine-aided cases were, at\xe2\x80\xa6 https://t.co/HAS7Ngupxm'"
1246193703150137345,2020-04-03 21:51:46,b'@ChrSzegedy @johannes_wachs Not sure what you mean\xe2\x80\x94our goal here was to figure out the features of successful proof\xe2\x80\xa6 https://t.co/OsE2Bj29FY'
1246192847126224897,2020-04-03 21:48:22,b'@CarlosKirjner @jlizier The classic book is by @MelMitchell1; https://t.co/C1aLzhX6Ci'
1246192367054585859,2020-04-03 21:46:28,"b'@CarlosKirjner Journals that have lots of math, approach it from a more abstract level: Advances in Complex Systems\xe2\x80\xa6 https://t.co/rRicmFEteR'"
