id,created_at,text
1243233313705177088,2020-03-26 17:48:14,"b'A covid-19-tracking project I work with is seeking urgent collaboration with an epidemiologist, virologist, or othe\xe2\x80\xa6 https://t.co/08h9yYbcJY'"
1243001971755253762,2020-03-26 02:28:58,b'@TheAnnaGat Stalin'
1243000143646830592,2020-03-26 02:21:42,"b'Someone should make a dating app for covid-19 activists. In the short term, could allow information to spread even\xe2\x80\xa6 https://t.co/IzixBC68Ok'"
1242977258869936128,2020-03-26 00:50:46,b'\xe2\x80\x9cMeaning requires hormesis on all abstraction levels\xe2\x80\x9d -Romeo Stevens'
1242888223061241856,2020-03-25 18:56:58,b'@BennettJonah The glasses give it away'
1242682483352555521,2020-03-25 05:19:26,b'There should be a red team for all of civilization...to help us not end up here again.'
1241531750880174080,2020-03-22 01:06:50,b'RT @ocasmon: @adamvsteele @clairlemon @nntaleb Said another way: https://t.co/QArc5xYHSH'
1241531027534700544,2020-03-22 01:03:58,b'The culture of the future will be a synthesis between East Coast keeping it real and West Coast authentic relating'
1241530531637891072,2020-03-22 01:01:59,"b'""keeping it real"" &gt; ""authentic relating""'"
1241177278991577090,2020-03-21 01:38:17,b'There was already too much lag in human interaction *before* zoom rooms'
1241040996667764743,2020-03-20 16:36:45,b'An end to the trend of navel-gazing and solipsism. A reorienting toward the world outside ourselves. This would be a silver lining.'
1241040992024670208,2020-03-20 16:36:44,"b""Post-crisis, perhaps we'll see a renaissance reemergence of emotions, qualities, and aesthetics that relate us to t\xe2\x80\xa6 https://t.co/yhnFfqj4Vd"""
1240839958262206464,2020-03-20 03:17:54,b'Cool: https://t.co/stFQDsCbYq'
1240754285912055808,2020-03-19 21:37:28,b'\xe2\x80\x9cAbility to learn new interfaces\xe2\x80\x9d is one of the most important modern skills'
1240144071806631937,2020-03-18 05:12:42,"b""@Aella_Girl The Witch if you haven't already seen it"""
1240049441903542274,2020-03-17 22:56:40,b'@GabbyMcNabb Neat'
1239693887007932417,2020-03-16 23:23:49,b'@nwilliams030 \xc2\xbf?'
1239685598387924992,2020-03-16 22:50:53,b'RT @msutherl: https://t.co/WyCBG9LH2R'
1239685426647953408,2020-03-16 22:50:12,b'@nwilliams030 ??'
1239641211515719680,2020-03-16 19:54:30,"b""I'm shocked I haven't seen this story told in numbers yet.\n\xe2\x80\xa2 Global reported vs estimated cases: ~79,000 vs ~7,482,\xe2\x80\xa6 https://t.co/9LTCYkrAY7"""
1239249342067695617,2020-03-15 17:57:21,b'??? https://t.co/RYu0PVDzlE'
1238969119506038791,2020-03-14 23:23:51,b'@TheAnnaGat Daemon'
1238936442090295297,2020-03-14 21:14:00,b'Where is the part of twitter/the internet where aesthetics are discussed &amp; debated? Or is this a dead art?\n\n@nosilverv @morgan'
1238603001532747776,2020-03-13 23:09:02,"b'RT @davidallegranti: A Siena, citt\xc3\xa0 alla quale sono molto legato, si sta in casa ma si canta insieme come se si fosse per la strada. Mi son\xe2\x80\xa6'"
1238569919966588928,2020-03-13 20:57:35,b'Deborah Birx'
1238312627832532992,2020-03-13 03:55:11,"b""Editor's note: This is a very strange thing"""
1238304530183229441,2020-03-13 03:23:01,b'Taken in https://t.co/J6EH0jss1U - join me now at https://t.co/VBlBfwSdzd! \xf0\x9f\x90\xa4 https://t.co/8QXI5f84u5'
1238261811876630528,2020-03-13 00:33:16,"b'RT @metadiogenes: The desire for ""trad"" architecture is actually a desire for high-energy architecture. Aesthetic energy is the amount of a\xe2\x80\xa6'"
1237901718471540738,2020-03-12 00:42:23,"b""RT @celinehalioua: me + @LauraDeming helping a co spin up COVID19 swab tests (CLIA cert'd) to 10k/day  - co needs ~$800k to front load reag\xe2\x80\xa6"""
1237891655258083329,2020-03-12 00:02:24,"b'RT @benlandautaylor: @robinhanson ""This mixture of vagueness and sheer incompetence is the most marked characteristic of modern English pro\xe2\x80\xa6'"
1237842378444042247,2020-03-11 20:46:35,b'@Aella_Girl NYC FTW'
1237841183369342977,2020-03-11 20:41:50,b'@fiddlemath https://t.co/fkid7PnuoS'
1237841041002094593,2020-03-11 20:41:16,"b""...until the 1960s when they remembered it, but only while on drugs. Let's not talk about that part. https://t.co/4rCpDE5DLg"""
1237841039261487106,2020-03-11 20:41:16,b'https://t.co/1CAUDt6A4g'
1237841036988149766,2020-03-11 20:41:15,b'https://t.co/unNUd9VLgD'
1237841035260088325,2020-03-11 20:41:15,b'https://t.co/cmxomKuXoc'
1237841032840003584,2020-03-11 20:41:14,"b'Art Nouveau: that one time the humans succeeded at utopian aesthetics, and then forgot about it https://t.co/BN8x8aul4f'"
1237516473574109184,2020-03-10 23:11:33,"b'Google ""biophilic design."" What do you see? I see sterile modern architecture plus plants. It\'s like art nouveau never happened.'"
1235675294633275392,2020-03-05 21:15:22,b'Insightful thread on Kaj\xe2\x80\x99s recent meditation retreat experience. https://t.co/ibvPF4I6rD'
1233819120329744386,2020-02-29 18:19:36,"b'Shadow culture: ""a vast unorganised array of discrete individuals who live and think different from the mainstream,\xe2\x80\xa6 https://t.co/kS81g2rj70'"
1233242841410920448,2020-02-28 04:09:40,b'@JeffLadish Correct: drones for automated security perimeter around the compound that anonymous PayPal mafia member\xe2\x80\xa6 https://t.co/yH1YTQFfP3'
1233152901545185281,2020-02-27 22:12:17,"b'Also 2C-B, for when the aya runs out'"
1233152832196554754,2020-02-27 22:12:00,"b'Silicon Valley self-quarantine list:\n\xe2\x80\xa2 Healing crystals, for emergencies\n\xe2\x80\xa2 Mealsquares, complete nutrition \n\xe2\x80\xa2 Ayahu\xe2\x80\xa6 https://t.co/N5qoZfaDs8'"
1233083466742456322,2020-02-27 17:36:22,b'Fistbumps ftw https://t.co/sUDm6bJA4T'
1232182324025888768,2020-02-25 05:55:33,b'@fiddlemath Only your neurons burn'
1231386305411440647,2020-02-23 01:12:27,b'@msutherl @keatondun @geomorphologies @GucciDatAss @malloc8 @dzucconi @pcmonk @nayafia @benvickers_ @anecdoted\xe2\x80\xa6 https://t.co/3BeVmoZSYU'
