id,created_at,text
1243245116296507392,2020-03-26 18:35:08,b'RT @DanielleFong: Scientology.\nGet fucked.'
1243244614783586304,2020-03-26 18:33:09,"b""RT @TechGodArisen: Let's also have a day that we ask all the people in the Tech community in Ghana to start making Respirators and Ventilat\xe2\x80\xa6"""
1243243543566696448,2020-03-26 18:28:53,b'RT @DanielleFong: @O2SupremeVermin @eigenrobot @AlyhaChan @ResonantPyre https://t.co/mj9mMsfIy1'
1243241108265721857,2020-03-26 18:19:13,"b'RT @bubbleteaPhD: @Aryeh___ as a person who started baking too, separate from the meme, i am confusion. i just feel like... i want to make\xe2\x80\xa6'"
1243241065001496576,2020-03-26 18:19:02,b'RT @VPedro2020: EXACTLY! https://t.co/pGFrhoq57b'
1243240517598695426,2020-03-26 18:16:52,b'https://t.co/xQ6LLm1NI9'
1243238524293431297,2020-03-26 18:08:57,b'RT @DanielleFong: @snigdhar0y .    \xf0\x9f\xa7\xa2\n\xf0\x9f\xaa\x93\xf0\x9f\xa7\x95\xf0\x9f\xa5\x80 fuck it.'
1243237377121935361,2020-03-26 18:04:23,b'EXACTLY! https://t.co/pGFrhoq57b'
1243227135285878785,2020-03-26 17:23:41,b'This is funny. https://t.co/OzlU5Quzic'
1243219043575791617,2020-03-26 16:51:32,b'RT @DanielleFong: World Government.\n\nNo Olympics\nDumb AI is censoring us\nwhich is killing my friends\n\nI challenge the world to a fair conte\xe2\x80\xa6'
1243206232359473154,2020-03-26 16:00:38,b'RT @DanielleFong: Are you experienced? https://t.co/99fpC7vLki'
1243205316583608320,2020-03-26 15:56:59,b'RT @AlyhaChan: 6666666666666 down with vermin 9999999999999\n                            6 afraid of 7 cause 7 8 9 https://t.co/SHiwX58Dc9'
1243204711227981828,2020-03-26 15:54:35,b'RT @DanielleFong: wake up ppl and be awesome! the accountants took over. but they have no brains! https://t.co/y9N2OI87Et'
1243203620956508161,2020-03-26 15:50:15,b'RT @DanielleFong: https://t.co/5llmH6FUkz'
1243196969335611393,2020-03-26 15:23:49,"b'RT @DanielleFong: ""fail hydra""'"
1243196609506217989,2020-03-26 15:22:23,"b'RT @DanielleFong: ""DVNO""\n\nhttps://t.co/sIxQWhLfrU'"
1243189955859537920,2020-03-26 14:55:57,b'RT @stankysausage: NORMALIZE STAYING THE FUCK HOME \nNORMALIZE STAYING THE FUCK HOME\nNORMALIZE STAYING THE FUCK HOME\nNORMALIZE STAYING THE F\xe2\x80\xa6'
