id,created_at,text
1245414938807418880,2020-04-01 18:17:14,"b""RT @scale_AI: Scale AI's Nathan Hayflick and @danielhavir share how to train models faster with large datasets using Scale AI and PyTorch.\xe2\x80\xa6"""
1245404438556078081,2020-04-01 17:35:31,"b""We @scale_AI collaborated with the team at @PyTorch about continual labeling-in-the-loop (using Scale's API) and st\xe2\x80\xa6 https://t.co/yRl7V1zyig"""
1244444622853570560,2020-03-30 02:01:33,b'Narrative violation https://t.co/XLfmAWWrac'
1242977368374829056,2020-03-26 00:51:12,b'@benedictevans Every @scale_AI customer is up and running and then some. We\xe2\x80\x99re helping lots of businesses with surg\xe2\x80\xa6 https://t.co/MUyVNdsuAy'
1240827585178685440,2020-03-20 02:28:44,"b'In these tough times, I wish that food delivery platforms (@DoorDash, @UberEats, @Grubhub, @Postmates) supported ti\xe2\x80\xa6 https://t.co/A8wTVjaUuI'"
1240010689680293888,2020-03-17 20:22:41,b'We @scale_AI are going to be offering free services to provide open datasets for COVID-19 AI research.\n\nOur mission\xe2\x80\xa6 https://t.co/gIxqAZLVks'
1240009696930455554,2020-03-17 20:18:44,"b'RT @scale_AI: To help the efforts of COVID-19 research, Scale AI will provide free data annotation services for any researcher working on d\xe2\x80\xa6'"
1239082336366419968,2020-03-15 06:53:44,"b'RT @pradeep24: Hiring warehouse (onsite SF) and customer support (remote) roles @farmsteadapp, delivering food to Bay Area doorsteps. Pleas\xe2\x80\xa6'"
1238991216659681280,2020-03-15 00:51:40,"b'A reminder to founders, entrepreneurs, operators, and employees as we navigate these tough times:\n\nCompanies are in\xe2\x80\xa6 https://t.co/zN3mxVXpca'"
1237823314443173888,2020-03-11 19:30:50,b'We @scale_AI are building data annotation infrastructure that flows like running water. https://t.co/2bjDh0IQzB'
1237823069890080768,2020-03-11 19:29:52,b'RT @russelljkaplan: Quite impressed with my first @scale_AI data labeling job submission. Uploaded 1k image annotation tasks before going t\xe2\x80\xa6'
1236483321498152960,2020-03-08 02:46:11,"b'Just spent a bunch of time with a serial entrepreneur who\xe2\x80\x99s starting another business.\n\nThe level of creativity, hu\xe2\x80\xa6 https://t.co/U1re06i85U'"
1233891262811369472,2020-02-29 23:06:16,"b'I\xe2\x80\x99m always shocked by smart, young, driven people who choose a company because of \xe2\x80\x9cmentorship\xe2\x80\x9d.\n\nYes, it is good to\xe2\x80\xa6 https://t.co/dxbQnFQHnS'"
1233810953088557056,2020-02-29 17:47:08,b'Advice for folks who do too much math and too little physics:\n\nDon\xe2\x80\x99t try to be too clever.\n\nCleverness often comes\xe2\x80\xa6 https://t.co/ufiUuABLfb'
1232780691466637312,2020-02-26 21:33:15,"b'Sat down with the incredible @mavolpi of @IndexVentures to talk about AI, its potential, and limitations, and what\xe2\x80\xa6 https://t.co/v4NW2Z6GFH'"
1229505088068018177,2020-02-17 20:37:10,b'First and primary role about competition: don\xe2\x80\x99t focus on competitors.\n\nEither you will accomplish something meaning\xe2\x80\xa6 https://t.co/0lZhhwbzgh'
1226207840487931904,2020-02-08 18:15:05,"b'The *best* feeling is talking to someone who is able to articulate ideas that ring absolutely true to you, but you\xe2\x80\xa6 https://t.co/0EntHi5BOz'"
1224587009622065152,2020-02-04 06:54:29,b'@drewhouston Congratulations!'
1224454698461089797,2020-02-03 22:08:44,b'@scale_AI More coverage from @VentureBeat here:\n\nhttps://t.co/d5ylgAhOvQ'
1224417922208026625,2020-02-03 19:42:35,b'We @scale_AI published a blog post to discuss the project and how excited we are about it:\n\nhttps://t.co/snmlI3sxMS'
1224417457110020096,2020-02-03 19:40:45,"b""We worked with @UWaterloo and @UofT to open source the world's first open-source winter driving dataset.\n\nProgress\xe2\x80\xa6 https://t.co/zAroAPPjvx"""
1223680652375019520,2020-02-01 18:52:57,"b'If you want to be a historian, go into finance.\n\nIf you want to write the future, go to a startup.\n\nFinanciers stud\xe2\x80\xa6 https://t.co/o1Mpd7D1Ts'"
1221566887617650688,2020-01-26 22:53:36,b'Company-building is more about tactics than strategy.\n\nStrategy seems easier to apply because it simplifies complex\xe2\x80\xa6 https://t.co/0BpFIjj4AA'
1219296073631461379,2020-01-20 16:30:12,"b""The secret to great writing is clear thinking. There aren't many other secrets."""
1218665295524450304,2020-01-18 22:43:42,"b""There's nothing quite like the magic of a small team, perfectly aligned in accomplishing the slightly impossible.\xe2\x80\xa6 https://t.co/ZRmP4hSmGJ"""
1215811429330116608,2020-01-11 01:43:28,b'Uber should make a feature to allow riders to select the route.\n\nThe amount of frustration from arguing with your U\xe2\x80\xa6 https://t.co/zHvpwZp8iz'
1215470526526709760,2020-01-10 03:08:50,b'@rabois Describing the mechanism. Desperation breeds innovation because people become irrationally risk-seeking.'
1215454502981009408,2020-01-10 02:05:10,"b""Super interesting cognitive bias from Kanneman's work:\n\nWhen all the options are good, people are risk-averse.\n\nWhe\xe2\x80\xa6 https://t.co/E1PZYqlf0O"""
1214026599596728321,2020-01-06 03:31:11,"b""@tanthaip imagine if the overheads were empty and you didn't have to put your backpack in front of you"""
1214020236388765696,2020-01-06 03:05:54,"b'Annoying local maximum of planes:\n\nBecause airlines charge for checked baggage, the ""human"" cabin of airplanes is a\xe2\x80\xa6 https://t.co/YFMVQ3ci9e'"
1212928043343179776,2020-01-03 02:45:55,"b'I saw many modern art experiences this holiday:\n\nNM: Meow Wolf\nNYC: ARTECHOUSE, SuperReal, ZeroSpace\nParis: Atelier\xe2\x80\xa6 https://t.co/ZNRPSlkIYI'"
1212903644053377024,2020-01-03 01:08:58,"b'@russelljkaplan Very ambitious on screen tech, unambitious elsewhere'"
1212755628902383616,2020-01-02 15:20:48,"b'It took 22yrs for RenTech (best hedge fund ever) to go from founding to massive success\n\nIn those 22yrs, many left,\xe2\x80\xa6 https://t.co/DeaTEfxFSd'"
1212506233866870784,2020-01-01 22:49:48,b'@JonDishotsky Waterproof iPhone already is a killer \xf0\x9f\xa4\xb7'
1212044674665500672,2019-12-31 16:15:43,"b'At the @scale_AI holiday party, I wanted the team to remember 3 things to close the year:\n\n1. Determination breeds\xe2\x80\xa6 https://t.co/hNYsINyOJS'"
1211864818149449728,2019-12-31 04:21:02,"b""@ilyasu Ilya you're keeping me honest! @daniel_levine's basement was a great office primarily because of the accoun\xe2\x80\xa6 https://t.co/dlZYkykO0W"""
1211862665385201665,2019-12-31 04:12:29,b'@arram Biotech startup idea...'
1211860125226541056,2019-12-31 04:02:23,b'@notalexlin I can imagine this'
