id,created_at,text
1243245039469371395,2020-03-26 18:34:50,b'RT @DanielleFong: Scientology.\nGet fucked.'
1243244707150471169,2020-03-26 18:33:31,"b""RT @TechGodArisen: Let's also have a day that we ask all the people in the Tech community in Ghana to start making Respirators and Ventilat\xe2\x80\xa6"""
1243238403937837056,2020-03-26 18:08:28,b'RT @DanielleFong: @snigdhar0y .    \xf0\x9f\xa7\xa2\n\xf0\x9f\xaa\x93\xf0\x9f\xa7\x95\xf0\x9f\xa5\x80 fuck it.'
1243237959370977281,2020-03-26 18:06:42,"b""ahhhh it's too much. everybody stay the fuck at home ok!\n\nwe'll get you money!! fuuuuuck!!! \xf0\x9f\xa7\xa7\xf0\x9f\xa7\xa7\xf0\x9f\xa7\xa7\xf0\x9f\xa7\xa7\xf0\x9f\xa7\xa7\xf0\x9f\x92\xb8\xf0\x9f\x92\xb8\xf0\x9f\xa7\xa7\xf0\x9f\x92\xb8\xf0\x9f\x92\xb8\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\xf0\x9f\x92\xb8\xf0\x9f\xa7\xa7\xf0\x9f\xa7\xa7\xf0\x9f\x92\xb8\xf0\x9f\x92\xb5\xf0\x9f\xa7\xa7\xf0\x9f\x92\xb9\xf0\x9f\x92\xb8\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\xe2\x80\xa6 https://t.co/VW87ODm84D"""
1243237732132012033,2020-03-26 18:05:48,b'Excellent!\n@opti__mystic https://t.co/ClOUe5dWnA'
1243237562476609538,2020-03-26 18:05:07,b'RT @VPedro2020: EXACTLY! https://t.co/pGFrhoq57b'
1243234872493314050,2020-03-26 17:54:26,b'\xf0\x9f\x98\x8e https://t.co/H9RmSW5dFJ'
1243234761293905920,2020-03-26 17:53:59,b'RT @opti__mystic: \xf0\x9f\xa4\x8f\xf0\x9f\xa7\xa0 heaha alan watts whoaa trippy dude acid lmoa *wattswave*\xf0\x9f\x8e\xa7\n\n\xf0\x9f\xa5\xbd\xf0\x9f\xa7\xa0 alan watts yeah i used to listen to him but then i disco\xe2\x80\xa6'
1243234714292572160,2020-03-26 17:53:48,b'RT @learning20201: @AlyhaChan @Ben_Steiner @DanielleFong @edelwax Related ideas to explore further after the above presentation by Joe Edel\xe2\x80\xa6'
1243234699922870272,2020-03-26 17:53:45,"b""RT @O2SupremeVermin: @AlyhaChan It's Paul Giamatti as Big Fat Liar as Thanos. It's balanced."""
