id,created_at,text
1243336083636736001,2020-03-27 00:36:37,b'RT @Peter_Karwacki: @DanielleFong Apparently you have the right to see a Patient Rights Advisor.'
1243336058328223748,2020-03-27 00:36:31,"b""RT @sudha_lakshmi: @DanielleFong That's positively evil, if someone specifically chose this time. I assumed they were doing this out of con\xe2\x80\xa6"""
1243336011314278400,2020-03-27 00:36:19,b'I will not have my phone'
1243335973750128641,2020-03-27 00:36:10,b'I\xe2\x80\x99m being committed involuntarily. This is unjust and is putting my family at risk. I am pissed.'
1243331128796250114,2020-03-27 00:16:55,b'@maxyazhbin @GregNN No'
1243331090703626252,2020-03-27 00:16:46,b'@Plinz @Michael37823933 I am not very safe in a hospital. I am worried about my parents. I need to self isolate now'
1243330899795722241,2020-03-27 00:16:01,b'@maxyazhbin @GregNN No'
1243330498379878400,2020-03-27 00:14:25,b'RT @UROCKlive1: Trump now admits there are way more cases than are being reported.'
1243330460622651393,2020-03-27 00:14:16,b'RT @CAshmanActor: me: im depressed\n\ntherapist: try a good walk\n\nme: will that work\n\ntherapist: yes *subtly gives a \xe2\x80\x98thumbs up\xe2\x80\x99 to my dog*'
1243330297506213890,2020-03-27 00:13:37,"b'RT @Sofa21898604: Let her think better of me than I really do, and then I will be better \xf0\x9f\x93\x8e \n\n\xf0\x9f\x94\xb9  Ernest Hemingway\xf0\x9f\x94\xb9\n\n#ButterflyWorld \xf0\x9f\x92\xa6 \xf0\x9f\x8c\x90 \xf0\x9f\x92\xa6 ht\xe2\x80\xa6'"
1243330222273040385,2020-03-27 00:13:19,b'RT @Sofa21898604: Ask for what you want and be prepared to get it \xf0\x9f\x93\x8e\n\n#ButterflyWorld \xf0\x9f\x92\xa6 \xf0\x9f\x8c\x90 \xf0\x9f\x92\xa6 https://t.co/AfEGwDvFjw'
1243329997101846529,2020-03-27 00:12:25,"b""RT @fitnurse34: Hang in there Dads.....you're doing great https://t.co/lIAheolVE1"""
1243329954613530624,2020-03-27 00:12:15,"b'RT @MITREcorp: Until now, it took many measurements or multiple telescopes to determine a satellite\xe2\x80\x99s orbit. MITRE engineers specializing i\xe2\x80\xa6'"
1243328235867381762,2020-03-27 00:05:26,b'@Plinz @Michael37823933 I got the handcuffs removed'
1243328165621178374,2020-03-27 00:05:09,b'@eigenrobot I don\xe2\x80\x99t know which you mean. I am pointing the finger at Eric wesoff'
1243326609064710144,2020-03-26 23:58:58,b'@GregNN Investigate Greentech Media and their abuse of power'
1243326530283077634,2020-03-26 23:58:39,"b'@Michael37823933 Asking what someone is thinking, saying that\xe2\x80\x99s manic, handcuffing them and hurting them and throwi\xe2\x80\xa6 https://t.co/jcwYrFBfxf'"
1243326005974089729,2020-03-26 23:56:34,b'@DayssiOK Someone swatted me or something. This should not be legal'
1243325887212388353,2020-03-26 23:56:06,b'@DayssiOK Yes. I\xe2\x80\x99m stuck in a room and my battery is draining. Nobody in or out for 2 hours'
1243325772733001728,2020-03-26 23:55:38,"b'Pathologization without listening is insanity,\n\nAlmost nobody listens'"
1243325272486707200,2020-03-26 23:53:39,b'@sudha_lakshmi @ResonantPyre It\xe2\x80\x99s ok'
1243325249313259534,2020-03-26 23:53:33,b'@sudha_lakshmi It\xe2\x80\x99s not a coincidence!'
1243322868852822016,2020-03-26 23:44:06,b'RT @DanielleFong: @nabutheraven @InquilineKea @BLUNDERBUSSTED It\xe2\x80\x99s wrong and abused by people like Harvey Weinstein. It\xe2\x80\x99s in fact totally w\xe2\x80\xa6'
1243322818290487296,2020-03-26 23:43:54,b'RT @DanielleFong: @nabutheraven I am in a small room. Nobody has come for 2 hours. A nurse definitely has coronavirus.'
1243322706696732672,2020-03-26 23:43:27,b'@nabutheraven I am in a small room. Nobody has come for 2 hours. A nurse definitely has coronavirus.'
1243322567638859777,2020-03-26 23:42:54,b'@EvanOLeary @InquilineKea @BLUNDERBUSSTED Exactly'
1243322446498889730,2020-03-26 23:42:25,b'@nabutheraven @InquilineKea @BLUNDERBUSSTED It\xe2\x80\x99s wrong and abused by people like Harvey Weinstein. It\xe2\x80\x99s in fact totally wrong. It\xe2\x80\x99s misogyny'
1243320518591340544,2020-03-26 23:34:46,b'Same person https://t.co/snV1pElL17'
1243318632542867458,2020-03-26 23:27:16,"b'RT @webdevMason: \xf0\x9f\x8e\xb5 If you wanna be my lover, you gotta get\n\n16 pallets of shelf-stable rations, land with a functioning well, CPR certifica\xe2\x80\xa6'"
1243318463453630464,2020-03-26 23:26:36,"b'RT @mlegls: Amazing explanation of what ""emptiness"" is. \n\nBTW, pretty every time I\'ve said ""enlightenment"" I\'ve meant a good-enough realisa\xe2\x80\xa6'"
1243318447997583360,2020-03-26 23:26:32,"b""RT @meditationstuff: @mlegls I think there's a thing beyond emptiness and beyond no-self! https://t.co/MkivrZorEW"""
1243318417156902914,2020-03-26 23:26:25,b'RT @str_voyage: Our boat is tossed about by the waves.'
1243318320478257156,2020-03-26 23:26:01,b'\xf0\x9f\x98\xa5 https://t.co/CPjwHBY8jI'
1243318087681802240,2020-03-26 23:25:06,"b'RT @neil_ferguson: 2/4 -This is not the case. Indeed, if anything, our latest estimates suggest that the virus is slightly more transmissib\xe2\x80\xa6'"
1243317891262550024,2020-03-26 23:24:19,b'Still stuck in here'
1243317524294512640,2020-03-26 23:22:52,b'RT @flcnhvy: Medtronic CEO Omar Ishrak announced on CNBC this morning that they\xe2\x80\x99ve already started working with @Tesla \xe2\x80\x94 and they\xe2\x80\x99re fast o\xe2\x80\xa6'
1243317508129595392,2020-03-26 23:22:48,b'RT @elonmusk: @flcnhvy @Tesla Making good progress. We will do whatever is needed to help in these difficult times.'
1243317488273764356,2020-03-26 23:22:43,"b'RT @elonmusk: @MartianDays Physics is the law, everything else is a recommendation'"
1243317458020249611,2020-03-26 23:22:36,b'RT @elonmusk: https://t.co/lzh1uj8QCy'
1243317447337349120,2020-03-26 23:22:33,"b'RT @elonmusk: @teslaownersSV @Teslarati Working on that with Medtronic. Given NY pressing needs, we\xe2\x80\x99re delivering Resmed, Philips &amp; Medtron\xe2\x80\xa6'"
1243316964417822722,2020-03-26 23:20:38,b'@InquilineKea @BLUNDERBUSSTED They claimed I was a danger to myself'
1243316900278472704,2020-03-26 23:20:23,b'@InquilineKea @BLUNDERBUSSTED The US violates this too'
1243316795710341120,2020-03-26 23:19:58,b'@InquilineKea @BLUNDERBUSSTED No'
1243308470574755840,2020-03-26 22:46:53,b'https://t.co/epX2Fu5cEc'
1243308155637043200,2020-03-26 22:45:38,b'@alexandria_jaye Thank you. I am ok'
1243290643167920129,2020-03-26 21:36:03,b'I seem to be talking my way out'
1243264479812636673,2020-03-26 19:52:05,b'@InquilineKea @BLUNDERBUSSTED @ewesoff @elonmusk @O2SupremeVermin @peterthiel @sama a little help plz https://t.co/ytZs7xPF6v'
1243264340150583297,2020-03-26 19:51:32,b'@InquilineKea @BLUNDERBUSSTED @ewesoff @elonmusk @O2SupremeVermin a little help plz'
1243264219883208705,2020-03-26 19:51:03,b'@InquilineKea @BLUNDERBUSSTED Attacked me with 6 cops and then my company was down and @ewesoff wrote an article'
1243264064043786240,2020-03-26 19:50:26,b'@InquilineKea @BLUNDERBUSSTED No they did this to me before it\xe2\x80\x99s a fucking travesty'
1243263925233336320,2020-03-26 19:49:53,b'@ResonantPyre When I get out I am going to have to camp or something'
1243263856681586688,2020-03-26 19:49:36,b'@ResonantPyre Fuck'
1243263833122144256,2020-03-26 19:49:31,b'@ResonantPyre This stupid thing is going to expose my parents'
1243263675710033921,2020-03-26 19:48:53,b'@ResonantPyre I am in a paddu wagon'
1243263606164160513,2020-03-26 19:48:37,b'Halifax'
1243263578473406464,2020-03-26 19:48:30,b'Queen Elizabeth 2'
1243263534269693953,2020-03-26 19:48:19,b'@BLUNDERBUSSTED Somebody called in an involuntary commitment.\n\n If I am afk that\xe2\x80\x99s why.\nQe2'
1243263215695540224,2020-03-26 19:47:03,"b'RT @TechGodArisen: @DanielleFong not sure about the heart, but I suspect the brain is. \n\nQuantum mechanics could explain the soul.'"
1243263177653137414,2020-03-26 19:46:54,b'I have been arrested and am being taken to a hospital. Great. https://t.co/iHBQrEuUUp'
1243252384253521920,2020-03-26 19:04:01,b'Still really annoyed about this https://t.co/Vyw0f6TkmJ'
1243252377391640576,2020-03-26 19:03:59,b'@z1y2x3 @e62896633 @AlyhaKhan @elonmusk Imagine if you can play go with emojis.'
1243252375973965830,2020-03-26 19:03:59,b'@nabutheraven Excellent!'
1243252374703046662,2020-03-26 19:03:59,b'@similaralterity \xf0\x9f\xa5\xb0'
1243252373323161602,2020-03-26 19:03:58,b'@O2SupremeVermin I am also part dragon'
1243252372199092224,2020-03-26 19:03:58,b'@O2SupremeVermin The lovable part'
1243252370974412808,2020-03-26 19:03:58,b'@O2SupremeVermin Part elf'
1243252369644826624,2020-03-26 19:03:58,b'@O2SupremeVermin I am elf'
1243252368646553602,2020-03-26 19:03:57,b'@quinnesq \xf0\x9f\x95\x8a'
1243252367291801605,2020-03-26 19:03:57,b'Your heart is a quantum computer'
1243252366150942720,2020-03-26 19:03:57,b'\xf0\x9f\xa6\x9aIDGAF \xf0\x9f\x90\xb2 CLAN!\xf0\x9f\xa6\xa8'
1243252364225712132,2020-03-26 19:03:56,"b'Excellent work, Federer\xe2\x80\x99s!\n\nI will match your donation, but it is going to the Congo. https://t.co/FOCbeWzUcM'"
1243252361885335554,2020-03-26 19:03:56,b'\xf0\x9f\xa4\xa3 Hey Joe \xf0\x9f\x98\x98 https://t.co/A23ozZCVJP'
1243252360354435073,2020-03-26 19:03:55,"b'Exactly! \n\nFinally, someone with some understanding of Semiotics! https://t.co/hkks6DmM6z'"
1243252358236319745,2020-03-26 19:03:55,b'Exodus! https://t.co/maWstbjJHR'
1243252356680241154,2020-03-26 19:03:55,b'\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 https://t.co/961SiQ6xKI'
1243252354859913216,2020-03-26 19:03:54,"b'Biden, why didn\xe2\x80\x99t you do anything about Coronavirus when I told you *either* https://t.co/tXUVmwNcW8'"
1243252353261854721,2020-03-26 19:03:54,b'It\xe2\x80\x99s not just people. God and the devil have made an alliance. https://t.co/tfiheE6Y0Z'
1243252351449907200,2020-03-26 19:03:53,"b'Harharhar, but Siriusly read this https://t.co/KQ201bxdmU https://t.co/BwkENRqe3Y'"
1243252350447431685,2020-03-26 19:03:53,b'@MeFromBefore I don\xe2\x80\x99t know what the fuck.\n\nMaybe Antarctica.'
1243252348820099075,2020-03-26 19:03:53,b'It\xe2\x80\x99s too many! https://t.co/Br693PNCbQ'
1243252347410812933,2020-03-26 19:03:52,b'\xf0\x9f\x98\x82 https://t.co/ULBusLHVP2'
1243252346030825473,2020-03-26 19:03:52,b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8c\xbe https://t.co/Qz90osSsUz'
1243252344978055168,2020-03-26 19:03:52,b'@idster I don\xe2\x80\x99t care though. It\xe2\x80\x99s the right thing to do. Credit is for suckers.'
1243252342352478214,2020-03-26 19:03:51,b'Part of my intel network @Uber @UberEng @conormyhrvold can you contact me I want to get this guy a promotion he tip\xe2\x80\xa6 https://t.co/TJW2jBKQ8d'
1243249981479424004,2020-03-26 18:54:28,b'tickled! https://t.co/woqUPAs70e'
1243249952173756416,2020-03-26 18:54:21,"b'RT @eigenrobot: ""chuffed"" is great i will die on this hill https://t.co/KvJXrxhNeZ'"
1243249828194369536,2020-03-26 18:53:52,b'@BLUNDERBUSSTED \xf0\x9f\xa5\xb0'
1243249744832598016,2020-03-26 18:53:32,"b'RT @DanielleFong: @verge still good luck,'"
1243249731486220298,2020-03-26 18:53:29,"b'@verge still good luck,'"
