id,created_at,text
1244718640894636032,2020-03-30 20:10:24,b'@benlandautaylor This has been my primary point of interest when following these numbers for the last two months.'
1244708516918472710,2020-03-30 19:30:10,"b'RT @nicholaspaul26: @SamoBurja @InquilineKea @tylercowen Yes. This insight is hard to overstate. \xf0\x9f\x8e\xaf Legibility is not objective, it is grant\xe2\x80\xa6'"
1244704981111824385,2020-03-30 19:16:07,"b'RT @SamoBurja: @TheLexTimes Not an easy question...; \n\n1. We can make libraries physically enduring, possibly intentionally leaving some bu\xe2\x80\xa6'"
1244702707807444992,2020-03-30 19:07:05,"b'@TheLexTimes Not an easy question...; \n\n1. We can make libraries physically enduring, possibly intentionally leavin\xe2\x80\xa6 https://t.co/UeEvK16Rsn'"
1244701914031218696,2020-03-30 19:03:56,b'@kejsarmakten It is!'
1244701751824879617,2020-03-30 19:03:17,"b'RT @SamoBurja: @InquilineKea Patronage is a mechanism to bestow class privileges on eccentrics. And yes, genuine free thinkers are always e\xe2\x80\xa6'"
1244701741305573376,2020-03-30 19:03:15,"b""RT @SamoBurja: @InquilineKea @tylercowen They aren't just supported, they are rendered legible! The prestige of patronage by the Ptolemaic\xe2\x80\xa6"""
1244701735286788096,2020-03-30 19:03:13,b'RT @SamoBurja: @InquilineKea @tylercowen The first effect of discerning patronage to a community is that the defenses of resources that ena\xe2\x80\xa6'
1244701292527640580,2020-03-30 19:01:28,"b""@wraithburn The distinction isn't always clear cut!\n\nhttps://t.co/jowfLpAktW"""
1244700460147040257,2020-03-30 18:58:09,b'RT @SamoBurja: @InquilineKea @tylercowen A common misconception! I recommend you read on what the library of Alexandria was: an institution\xe2\x80\xa6'
1244700257276948481,2020-03-30 18:57:21,b'@InquilineKea @tylercowen A common misconception! I recommend you read on what the library of Alexandria was: an in\xe2\x80\xa6 https://t.co/v1dI1e7Zg3'
1244699479183220746,2020-03-30 18:54:15,b'RT @SamoBurja: @InquilineKea Direct discerning patronage is harder to game than career-driven checkboxes or committees.\n\nThis is the same r\xe2\x80\xa6'
1244699459440631820,2020-03-30 18:54:11,"b'@InquilineKea Patronage is a mechanism to bestow class privileges on eccentrics. And yes, genuine free thinkers are\xe2\x80\xa6 https://t.co/lUEHfdF1aq'"
1244699147845787652,2020-03-30 18:52:56,"b""@InquilineKea @tylercowen They aren't just supported, they are rendered legible! The prestige of patronage by the P\xe2\x80\xa6 https://t.co/KxQyBLWDR7"""
1244698931201601536,2020-03-30 18:52:05,b'@InquilineKea @tylercowen The first effect of discerning patronage to a community is that the defenses of resources\xe2\x80\xa6 https://t.co/zm9lsJmBT0'
1244698518758907904,2020-03-30 18:50:26,b'@InquilineKea Direct discerning patronage is harder to game than career-driven checkboxes or committees.\n\nThis is t\xe2\x80\xa6 https://t.co/OdCSKBwcvz'
1244696968036663301,2020-03-30 18:44:17,b'We often write off the beauty of the past as excess or whimsy. In truth their purpose was seldom fancy. This is a m\xe2\x80\xa6 https://t.co/mpyHsAevEf'
1244695488164556800,2020-03-30 18:38:24,"b'You might not be interested in history, but history is interested in you. \n\nBeliefs about history that underwrite s\xe2\x80\xa6 https://t.co/cFzsdXKbuw'"
1244693371110576128,2020-03-30 18:29:59,"b'Science, medicine, philosophy, the heritage of classical antiquity as well as the Persians and Indians. Engineering\xe2\x80\xa6 https://t.co/SzMktfnJcC'"
1244692408844947456,2020-03-30 18:26:10,"b""The most important role of the Library of Alexandria wasn't the preservation of books, it was its role in giving th\xe2\x80\xa6 https://t.co/prGEUT6pmb"""
1244692171472551937,2020-03-30 18:25:13,"b'A library that can be burned down, eventually will be. Robust knowledge transmission at scale is difficult. \n\n2/3'"
1244691876172554242,2020-03-30 18:24:03,b'The opportunity cost of lost knowledge is immense. The destruction of the library of Alexandria has compounding eff\xe2\x80\xa6 https://t.co/ghndK85uQb'
1244691149979148288,2020-03-30 18:21:10,"b'RT @SamoBurja: @nntaleb Archeological finds are the floor not the ceiling of past achievement. To assume otherwise is bad epistemology, yet\xe2\x80\xa6'"
1244690149109198848,2020-03-30 18:17:11,"b""The virus is driving political evolution. What's evolving remains to be seen. https://t.co/IHiRI84zYD"""
1244652286950772736,2020-03-30 15:46:44,b'RT @balajis: The one form of equality a journalist will always resist is the idea that everyone is now equal to a journalist.'
1244436964704579585,2020-03-30 01:31:07,"b'RT @AnaMackert: The U.S. Supreme Court ruled Mon. that state governments cannot be sued for copyright infringement, rejecting a case filed\xe2\x80\xa6'"
1244418375515693056,2020-03-30 00:17:15,"b""Good to see geopolitical tensions easing.\n\nI'm not sure what motivates this change. Perhaps the usual Trump negotia\xe2\x80\xa6 https://t.co/IuUjlZx1iM"""
1244414063561420801,2020-03-30 00:00:07,b'RT @razibkhan: i thought loss of confidence of the USA was 5-10 years down the line with a #2 GDP and a debt crisis.\n\ni was wrong. i think\xe2\x80\xa6'
1244410598999252992,2020-03-29 23:46:21,b'Despair setting in.\n\nhttps://t.co/eNQOUroYLd'
1244403492749324289,2020-03-29 23:18:07,b'RT @SamoBurja: Deadly disease can spread in any society. But whether it becomes an annoyance or an Armageddon depends on the response of hu\xe2\x80\xa6'
1244304241595805696,2020-03-29 16:43:43,"b'RT @robinhanson: ""Last week, Moscow police claimed to have caught and fined 200 people who violated quarantine and self-isolation using fac\xe2\x80\xa6'"
1244161760136839168,2020-03-29 07:17:33,"b""Despite Silicon Valley's self concept it doesn't build technology anymore. Its business is finance with an ever sma\xe2\x80\xa6 https://t.co/fINTBb6dLX"""
1244117870730084352,2020-03-29 04:23:09,"b'RT @csvoss: @SamoBurja Oh dang, this is one of the things that have made math and science olympiads such an interesting culture.\n\nStudents\xe2\x80\xa6'"
1244116611088281600,2020-03-29 04:18:09,"b'@argletargle @nfergus Not yet, @nfergus was once gracious enough to to talk to me about the talented Stanford students he knows!'"
1244116122632212481,2020-03-29 04:16:12,b'RT @argletargle: @nfergus  @SamoBurja  are you friends'
1244116014071078915,2020-03-29 04:15:46,"b""RT @nosilverv: ~50% of people say they're job is a bullshit job. I'm really dismayed by this."""
1244115907594477569,2020-03-29 04:15:21,b'RT @nosilverv: \xf0\x9f\x92\x8e'
1244115158001045504,2020-03-29 04:12:22,b'Minor home improvement to pantry complete! \xf0\x9f\x92\xa1\xf0\x9f\x92\xa1\xf0\x9f\x92\xa1 https://t.co/9kFpNgZqgs'
1244032853500805120,2020-03-28 22:45:19,"b""@magghu @ssica3003 I've been researching the social technologies we see in monasteries and other long lived institu\xe2\x80\xa6 https://t.co/9ahQbZmTRN"""
1244032376876830720,2020-03-28 22:43:26,"b'RT @MEATPANtheHOBO: @SamoBurja @theammind west decline news ""Chinese students tried to charter a plane home from the UK because they believ\xe2\x80\xa6'"
